Team;Team-URL;Player;TRN-URL;MMR 1v1;MMR 2v2;MMR 3v3s;MMR 3v3
404 Multigaming TU Dresden;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484498387027312640/info;Cloudxx;https://rocketleague.tracker.network/profile/mmr/ps/Cloudxx2703;557;1032;530;1086
404 Multigaming TU Dresden;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484498387027312640/info;Varsius;https://rocketleague.tracker.network/profile/mmr/steam/76561198212558413;1021;1413;952;1444
404 Multigaming TU Dresden;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484498387027312640/info;WeeKK;https://rocketleague.tracker.network/profile/mmr/steam/76561198037096517;795;1257;512;1294
404 Multigaming TU Dresden;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484498387027312640/info;Tera-Mann;https://rocketleague.tracker.network/profile/mmr/steam/76561197970869537;-3;712;598;737
404 Multigaming TU Dresden;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484498387027312640/info;Zirial;https://rocketleague.tracker.network/profile/mmr/steam/76561198028570043;421;653;-3;752
Ahoi Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495377815437312/info;TK;https://rocketleague.tracker.network/profile/mmr/steam/76561198058442711;793;1406;1241;1456
Ahoi Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495377815437312/info;MjEzO™;https://rocketleague.tracker.network/profile/mmr/steam/76561198005241210;1030;1424;1182;1648
Ahoi Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495377815437312/info;Zhaitan;https://rocketleague.tracker.network/profile/mmr/steam/76561197980516024;1080;1517;1211;1646
Ahoi Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495377815437312/info;hennimeister;https://rocketleague.tracker.network/profile/mmr/steam/76561198347856906;932;1419;1164;1511
FHDW eSports;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484487771432378368/info;zym.;https://rocketleague.tracker.network/profile/mmr/steam/76561198871307222;1116;1638;1200;1585
FHDW eSports;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484487771432378368/info;Midoti;https://rocketleague.tracker.network/profile/mmr/steam/76561198143354265;1048;1472;1188;1552
FHDW eSports;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484487771432378368/info;Clown;https://rocketleague.tracker.network/profile/mmr/steam/76561198069341454;702;1164;651;1162
FHDW eSports;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484487771432378368/info;Nilex;https://rocketleague.tracker.network/profile/mmr/steam/76561198219053201;655;1048;722;1075
FHDW eSports;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484487771432378368/info;Leo_;https://rocketleague.tracker.network/profile/mmr/steam/76561198355421392;660;1215;609;1138
ERROR;ERROR;ERROR;https://rocketleague.tracker.network/profile/mmr/steam/76561198055033327;ERROR;ERROR;ERROR;ERROR
Hamburger Backboard Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495787185840128/info;Obex;https://rocketleague.tracker.network/profile/mmr/steam/76561198161770421;974;1349;1101;1502
Hamburger Backboard Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495787185840128/info;Krunchy;https://rocketleague.tracker.network/profile/mmr/steam/76561198036231665;1025;1445;1088;1457
Hamburger Backboard Bois;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484495787185840128/info;HohLeeSchiddit'sGoro;https://rocketleague.tracker.network/profile/mmr/steam/76561198251922936;828;1225;810;1437
KIT SC Greenkeepers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484490392067358720/info;Kaczoland;https://rocketleague.tracker.network/profile/mmr/steam/76561198107997066;950;1417;1081;1499
KIT SC Greenkeepers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484490392067358720/info;Libra;https://rocketleague.tracker.network/profile/mmr/steam/76561198067590728;1111;1553;1065;1579
KIT SC Greenkeepers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484490392067358720/info;FaithFazer;https://rocketleague.tracker.network/profile/mmr/steam/76561198107369423;1016;1514;1072;1495
KIT SC Greenkeepers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484490392067358720/info;KingInos;https://rocketleague.tracker.network/profile/mmr/steam/76561198020311715;1052;1530;1162;1569
OSGG Red Rocketeers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484499599054225408/info;Staraptoah;https://rocketleague.tracker.network/profile/mmr/ps/Staraptoah;1130;1422;1200;1630
OSGG Red Rocketeers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484499599054225408/info;SirDickson;https://rocketleague.tracker.network/profile/mmr/steam/76561198824744307;816;1160;703;1315
OSGG Red Rocketeers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484499599054225408/info;Rumpsteak;https://rocketleague.tracker.network/profile/mmr/steam/76561198117245801;737;1269;751;1397
OSGG Red Rocketeers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484499599054225408/info;ChipGG;https://rocketleague.tracker.network/profile/mmr/steam/76561197984656507;747;1324;993;1380
OSGG Red Rocketeers;https://www.toornament.com/en_GB/tournaments/3356365864224243712/participants/3484499599054225408/info;monstfizz;https://rocketleague.tracker.network/profile/mmr/steam/76561198114466239;979;1518;1126;1447
